step,phase,epochs_seen,tokens_seen,train_loss,train_loss_ema,val_loss,val_ppl,grad_norm,param_norm,lr,elapsed_sec,tokens_per_sec,approx_flops_total
51,train,1.7407129643517825,104448,1.178523,1.300628,,,1.0,44.1327,0.0003,17.22,6066.1,2699454054400.0
52,train,1.7748445911037782,106496,1.160938,1.286659,,,1.0,44.1372,0.0003,17.33,6144.7,2699454054400.0
53,train,1.8089762178557738,108544,1.16805,1.274798,,,1.0,44.1414,0.0003,17.46,6218.3,2699454054400.0
54,train,1.8431078446077696,110592,1.146001,1.261918,,,1.0,44.1454,0.0003,17.58,6291.9,2699454054400.0
55,train,1.8772394713597653,112640,1.152168,1.250943,,,1.0,44.1496,0.0003,17.69,6367.7,2699454054400.0
56,train,1.911371098111761,114688,1.157951,1.241644,,,1.0,44.1538,0.0003,17.81,6439.1,2699454054400.0
57,train,1.9455027248637569,116736,1.118927,1.229372,,,1.0,44.1582,0.0003,17.94,6507.8,2699454054400.0
58,train,1.9796343516157526,118784,1.090088,1.215444,,,1.0,44.1624,0.0003,18.06,6578.3,2699454054400.0
59,train,2.0137659783677484,120832,1.115397,1.205439,,,1.0,44.1663,0.0003,18.18,6647.5,2699454054400.0
60,train,2.047897605119744,122880,1.107673,1.195663,,,1.0,44.1701,0.0003,18.3,6715.2,2699454054400.0
61,train,2.08202923187174,124928,1.089684,1.185065,,,1.0,44.1737,0.0003,18.43,6778.6,2699454054400.0
62,train,2.1161608586237355,126976,1.069518,1.17351,,,1.0,44.1778,0.0003,18.56,6842.2,2699454054400.0
63,train,2.150292485375731,129024,1.050792,1.161238,,,1.0,44.1821,0.0003,18.68,6908.1,2699454054400.0
64,train,2.184424112127727,131072,1.059933,1.151108,,,1.0,44.1868,0.0003,18.81,6968.8,2699454054400.0
65,train,2.2185557388797226,133120,1.044108,1.140408,,,1.0,44.1915,0.0003,18.93,7032.4,2699454054400.0
66,train,2.2526873656317186,135168,1.035638,1.129931,,,1.0,44.1962,0.0003,19.04,7097.3,2699454054400.0
67,train,2.286818992383714,137216,1.028488,1.119786,,,1.0,44.201,0.0003,19.16,7159.8,2699454054400.0
68,train,2.32095061913571,139264,1.01769,1.109577,,,1.0,44.206,0.0003,19.29,7219.3,2699454054400.0
69,train,2.3550822458877056,141312,0.997574,1.098377,,,1.0,44.2113,0.0003,19.42,7276.1,2699454054400.0
70,train,2.389213872639701,143360,1.007829,1.089322,,,1.0,44.2163,0.0003,19.55,7332.8,2699454054400.0
71,train,2.423345499391697,145408,1.001393,1.080529,,,1.0,44.2212,0.0003,19.69,7386.5,2699454054400.0
72,train,2.4574771261436927,147456,0.990044,1.07148,,,1.0,44.2263,0.0003,19.83,7437.3,2699454054400.0
73,train,2.4916087528956887,149504,1.01371,1.065703,,,1.0,44.2312,0.0003,19.95,7492.9,2699454054400.0
74,train,2.5257403796476843,151552,0.970207,1.056154,,,1.0,44.2361,0.0003,20.08,7548.3,2699454054400.0
75,trajectory,2.55987200639968,153600,0.977295,1.048268,0.976074,2.654,1.0,44.2408,0.0003,20.2,7602.6,2699454054400.0
76,train,2.594003633151676,155648,0.980364,1.041477,,,1.0,44.2453,0.0003,21.56,7218.2,2699454054400.0
77,train,2.6281352599036714,157696,0.974036,1.034733,,,1.0,44.2496,0.0003,21.68,7274.2,2699454054400.0
78,train,2.6622668866556674,159744,0.950681,1.026328,,,1.0,44.254,0.0003,21.79,7330.2,2699454054400.0
79,train,2.696398513407663,161792,0.949485,1.018644,,,1.0,44.2583,0.0003,21.91,7385.6,2699454054400.0
80,train,2.730530140159659,163840,0.974862,1.014266,,,1.0,44.2626,0.0003,22.03,7437.6,2699454054400.0
81,train,2.7646617669116544,165888,0.940114,1.00685,,,1.0,44.2672,0.0003,22.14,7491.5,2699454054400.0
82,train,2.79879339366365,167936,0.962211,1.002387,,,1.0,44.2718,0.0003,22.26,7543.2,2699454054400.0
83,train,2.832925020415646,169984,0.924762,0.994624,,,1.0,44.2765,0.0003,22.38,7594.9,2699454054400.0
84,train,2.8670566471676415,172032,0.926426,0.987804,,,1.0,44.2814,0.0003,22.51,7644.1,2699454054400.0
85,train,2.9011882739196375,174080,0.900388,0.979063,,,1.0,44.2862,0.0003,22.63,7693.9,2699454054400.0
86,train,2.935319900671633,176128,0.882273,0.969384,,,1.0,44.291,0.0003,22.75,7740.2,2699454054400.0
87,train,2.9694515274236286,178176,0.881096,0.960555,,,1.0,44.2959,0.0003,22.89,7784.3,2699454054400.0
88,train,3.0035831541756246,180224,0.903065,0.954806,,,1.0,44.3009,0.0003,23.02,7829.4,2699454054400.0
89,train,3.03771478092762,182272,0.86972,0.946297,,,1.0,44.306,0.0003,23.14,7875.7,2699454054400.0
90,train,3.071846407679616,184320,0.852886,0.936956,,,1.0,44.3111,0.0003,23.27,7920.6,2699454054400.0
91,train,3.1059780344316117,186368,0.867937,0.930054,,,1.0,44.3164,0.0003,23.39,7967.2,2699454054400.0
92,train,3.1401096611836077,188416,0.895538,0.926603,,,1.0,44.3214,0.0003,23.51,8014.7,2699454054400.0
93,train,3.1742412879356032,190464,0.888376,0.92278,,,1.0,44.3264,0.0003,23.63,8060.8,2699454054400.0
94,train,3.2083729146875988,192512,0.861622,0.916664,,,1.0,44.3312,0.0003,23.75,8105.0,2699454054400.0
95,train,3.2425045414395948,194560,0.845078,0.909506,,,1.0,44.3359,0.0003,23.87,8150.6,2699454054400.0
96,train,3.2766361681915903,196608,0.841941,0.902749,,,1.0,44.3409,0.0003,23.99,8195.0,2699454054400.0
97,train,3.3107677949435863,198656,0.842047,0.896679,,,1.0,44.3458,0.0003,24.11,8239.3,2699454054400.0
98,train,3.344899421695582,200704,0.872004,0.894211,,,1.0,44.3505,0.0003,24.23,8282.3,2699454054400.0
99,train,3.3790310484475774,202752,0.838045,0.888595,,,1.0,44.3551,0.0003,24.36,8323.1,2699454054400.0
100,trajectory,3.4131626751995734,204800,0.848867,0.884622,0.837322,2.3102,1.0,44.3595,0.0003,24.49,8363.3,2699454054400.0
